Indonesia,Simalungun
takut,"bajoraon, borin, gabar, habiar, mabiar, mora"
takut (pada benturan,mabiyar
takut; ngeri baju [baju] n baju,bajoraon
talas,suhat
talenan,sangkalan
tali,"hulangkulang, tali"
tali dari tumbuhan,andor
tali penjahit tangan,horui
tali penjahit tangan diambil dari kulit batang se- jenis pohon,horui
tali penyangga,ila
tali perian,tapangan
tali rotan,ropou
tali rotan yang dicocang,ropou
tali yang dipasang di leher kambing sebagai tempat pengikat tali,hulangkulang
tambah,"tambah, ulbei"
tambah dua,ambah
tambal,tambal
tambalan,tambalan
tambat,arih
tambatan,arihan
tambuh,igil
tambuh; tambah,igil
tampah,"andori, anduri, harunduk"
tampak,ulgap 
tampaknya,bareibe
tampan,"lais, sagad"
tampan; ganteng,lais
tampang,busir
tampar,"bapbap, dopar, paik, tampar, topar"
tampi,"ersek, laha, seksek"
tampi;  menampi,laha
tampung,tanggo
tampung (menampung air  dimasukkan ke dalam ansubah),ansuh
tanah,tanoh
tanah galian,tambur
tanah liat,liat
tanah rata,habungan
tanah rata di,songgak
tanah rata di atas bukit,songgak
tanah yang,"lambut, pamah"
tanah yang  datar dan rendah,pamah
tanah yang subur,lambut
tanak,tasak
tanam,"onah, suan, suanon, tanom, tidah"
tanaman,suanon
tanda,"alamat, alat, puh, rajah, sap, sinata, tanda"
tanda tangan,saing
tandang,tandang
tandanya,"alatan, paboa"
tandu,randei
tanduk,tanduk
tanduk rusa,ranggou
tandukan,tandukon
tangan,"botokon, tangan"
tangan kiri,haduhat
tangan pohon,mayang
tangan pohon margat,mayang
tangan yang,penggur
tangan yang bengkok,penggur
tangga,"andar, baltuk, pating, tangga"
tangga (terbuat dari bambu atau kayu),pating
tangga bambu,sigei
tanggal,hurung
tanggal ,hurung
tanggok,hodo
tangguk,sosap
tangguk (empat segi),sosap
tanggung,"abul, alang, mangkar, marlang, tanggung"
tanggung (karena belum biasa mengerjakannya),alang
tanggung- tanggung (warna yang tang- gung),marlang
tangis,"dangak, dokik, dorak, paok, piah, tangis"
tangisan,"dorakon , piak"
tangkai,"butarbutar, tampuk"
tangkai padi,"landur, runsi"
tangkai padi yang berisi penuh biji padi,landur
tangkal,tangkal
tangkap,"rapus, tangkap"
tangkas,ligat
tangkis,anjei
tanjung,anjuk
tanya,"marsisungkunan, sungkun"
tapa,tapa
tapai,tapei
tapak,tapak
tapisan,samir
tari,"sombah, tortor"
tarik,"aik, dogdog, dokdok, gejes, geret, gojos, guyun, jata, rodong, sarad, tarik"
tarikan,geretan 
tarikkan,guyunhon 
taruh,"nahkon, nangkon"
taruhan,sagar
tarum,tajom
tatah,"latap, tatah"
tatang,tatang
tatap muka,dumpar
tawa,tawa
tawanan,ayoban
tawar,"hambar, hawar, rambus"
tawas,tawas
tebal,"dampel, hapal, talbang, tobal"
tebal (tentang sayatan),talbang
tebal muka,madal
tebang,roboh
tebas,"imas, tobas"
tebing,salahsah
tebu,"tatabu, tobu"
tebus,tobus
teduh,"lindung, linggom"
"teduh; marlindung		v	berteduh; bernaung",lindung
tegak,tindang
tegak,"anturgok, dirgak, gaok, gastong, jogor, tindang"
tegak gatap [gatap] n daun sirih gatar [gattar] n perisai gatgat [gatgat] ,gastong
tegakkan,padirgak 
tegang,"mocor, rontong"
tegap,"bahod, jerbeg, regeng, togap"
tegap; gagah,jerbeg
teguh,"matih, retel, toguh"
teguh; kuat,matih
teguk,dorgak
teguk; ,dorgak
tegur,"sapa, sisei"
teh,teh
teja,kuning
teka,hutinta
tekan,"dondang, dondon, odot"
teka-teki,hutinta
tekun,angin
tekun dan cermat,etem
telah,hiskis
telan,"albug, bondut, bulur, tolon"
telanjang,"salang, talanjang"
telanjur,"lanjur, lansung"
telapak,jampal
telapak (kaki dan tangan),jampal
telapak kaki,goyong
telapak tangan,mandal
telapak tangan atau telapak kaki yang tebal mandihar[mandihar] n Sr pencak,mandal
teleng,lengleng
telinga,"pinggol, tuhil"
telinga yang ber,pigul
telinga yang ber- kerut karena penyakit,pigul
telor,hapor
telur,"pira, tinaru, tolur"
telur kutu,lisa
telur yang,bajukan
telur yang tidak bisa menjadi anak (busuk),bajukan
tem,lajablajab
tem- purung,lajablajab
teman,hasoman
tembaga,tombaga
tembak,tembak
tembakau,"bakal, timbahou"
tembakau isapan,tekeh
tembilang,"suduk, suluk"
tembilang kayu,assuan
tembilang kayu (alat untuk menggali lubang bertangkai panjang),assuan
tembok,tembok
tembolok,"bauk, tamporung"
tembolok tampua [tappua] n tempua tampuk [tappuk] n tangkai,tamporung
tembus,"ransang, ronsang"
tempah,topa
tempat,"abalabal, boradang, habinsaran, hadudukan, harumbung, hundulan, inganan, iyanan , langgatan, longadei, mangkuk, pandadangan, panganan, panlahatan, pantangan, parabingan, parbaliangan, parbeguan, parhireian, parjagalan, parjomukan, parkodean, parlintunan, parlompahon, parmodoman, podoman, sidogetan, tambahur, tanggungan, tidahan, tumpanan"
tempat  memaku dinding atau atap seng,jangka
tempat air,"ansubah, baluhat, salung"
tempat air terbuat dari bambu,baluhat
tempat air terbuat dari satu ruas bambu,salung
tempat air yang terbuat dari bambu dua ruas,ansubah
tempat air yg,garigit
"tempat air yg terbuat dr satu ruas bambu, memakai sumbat, dadiberi tali",garigit
tempat ayam,gargar
tempat ayam bertelur,gargar
tempat babi,lansang
tempat babi hutan tidur-tiduran,lansang
"tempat batang-barang di atas tungku boras	[bOras]	",boradang
tempat ber- musyawarah,lopou
tempat beras yang terbuat dari satu ruas bambu yang besar,parborasan 
tempat berdiri,parjongjongan 
tempat bermusyawarah,lopou
tempat berpijak,sidogetan
tempat berteduh untuk sementara,lampolampo
tempat duduk,hundulan 
tempat garam yang terbuat dari bambu,abalabal
tempat ikan,pongkal
tempat makan dari bambu,tambahur
tempat makanan babi,tanggungan
tempat makannya,panganan
tempat mandi,paridian 
tempat memaku seng,jangka
tempat menari,panortoran 
tempat menjemur,galah
tempat menjemur jagung yang belum dikupas,galah
tempat menyim- pan lemang,rinsan
tempat menyimpan lemang,rinsan
tempat minuman dari porselen,mangkuk
tempat nasi,parindahan 
tempat nasi di atas pahar atau nampan,tumpanan
tempat paling atas,sondi
tempat paling atas sondia [sOddia] pron bagaimana sondihi   [sOddihi]   n   jeroan,sondi
tempat pancuran,palung
tempat pancuran air hujan,palung
tempat penyimpanan ikan yg digantung dengan tali dan dapat naik turun,gayang
tempat perangkap,labei
tempat perangkap dipasang,labei
tempat perkakas yang terbuat dari bambu,harumbung
tempat sayur,humar
"tempat sayur untuk dibawa ke ladang, terbuat dari sepotong bambu (di atas nya memakai tutup dari ruas- nya yang dipotong)",humar
tempat sirih,"bajut, gujam"
tempat terbit (matahari),poltak
tempat tuak,hitang
tempat tuak dari,dotung
tempat tuak dari bambu,dotung
tempat tuak sebagai pengganti gelas,hitang
tempat tungku,tataring
tempat untuk menjemur tembakau,longadei
tempat yang disakralkan,langgatan
tempias,sulig
tempua,tampua
tempurung,layaplayap
temu,"domu, jumpah, tomu"
tenaga,"horak, horok"
tenang,"inop, tonang"
tenang; diam,inop
tengadah,dorgak
tengah,tongah
tenggelam,"lonong, mogap, munah, tinop, unob"
tenggiling,tanggiling
tenggiling tanggiripan [taggiripan] n penyu tanggo [taggo] v tampung,tanggiling
tenggorokan,oldog
tengik,sahal
tengkar,"bada, pungpang, simbat, tungkang, tungking"
tengkar b,bada 
tengkorak,gabag
tengkuk,tangkuhuk
tengok,palging
tengok; lihat,palging
tenun,tonun
tenung,atiha
tepak,tepak
tepas,topas
tepat,"sangkan, suhun, topat, tudu"
tepat pada,adar
tepat pada waktunya,adar
tepek,tepek
tepi,"ampis, biding, topi"
tepuk,topap
tepung,topung
teraba,tardadap 
terabaikan,"tartioshon, tartioshon "
teradakan,taradonghon
terairi,"tarbahi, tarbahi "
terambai,maol
terambai-ambai,maol
terang,"lihar, pae, pator, rondang, talar, torang, totor"
terang peman,"larlar, lihur"
terang peman- dangan,"larlar, lihur"
terang pemandangan,lantar
terang peng,panei
terang peng- lihatan; jelas,panei
"terang, cerah",lihar
terang; jelas,"pae, pator"
terangkat,"mungkut, tarangkat, tarangkat "
terantar,"antar 
tartaruhkon , tartaruhkon"
terantuk,"habandulan, sundol"
terapung,"mumbang, umbang"
terarah,tiling
teras,"buragan, emper, paham"
teratur,taratur 
terayun,"awal, maltang"
terayun-ayun benda besar,maltang
terbakar,"mosog, tartutung, tartutung "
terbakar: dopma gojog rumah sopouni si Musa rumah si Musa sudah terbakar,gojog
terbalas,"tarbalas, tarbalas "
terbalik,"suhar, tarbalik, tarbalik "
terban,jobjob
terban jadi,lonsoh
terban jadi jurang,lonsoh
terban; rusak binasa,jobjob
terbang,"habang, habur, hiab, hiap, mayap, telep"
terbang melayang,habang 
terbaring,"lepe, lujub"
terbasahi,"tartaptapi, tartaptapi "
terbelah,"mompak, tartaha, tartaha "
terbelalak: jirlak matani matanya terbelalak,jirlak
terbeli,"tarboli, tarboli "
terbeliak,tarbondil 
terbenam,sundut
terbendung,"tarbombong, tarbombong "
terbengkalai,langkor
terberita,luhur
terbesar,junggu
terbit,"binsar, mapoltak , poltak"
terbongkar,"tarsungkei, tarsungkei "
terbuang,tarbuang
terbuang buar,tarbuang 
terbuat,tarbahen 
terbujuk,"tarelek, tarelek "
terbuka,"biha, habkab, muget, mungkap, talag, tanggak, tarbuha, tarbuha , tarsingkap, tarsingkap , tarungkap, tarungkap "
terbungkus,"tarbalut, tarbalut "
terbunuh,tarbunuh
terbunuh bulugarung,tarbunuh 
terburai,ambik 
tercabik,maribak 
tercabut,"mumpat, tardokdok, tarorbat, tarorbat , tartompu, tartompu , tarumpat, tarumpat "
tercabut dokik,tardokdok 
tercabut gagang,mansil
tercabut gagang (misalnya gagang parang),mansil
tercampak,"hayap, mistak"
tercampur,"tarsampur, tarsampur , tarsotek, tarsotek , tartombur, tartombur "
tercangkul,"tarpangkur, tarpangkur , tarsangkul"
tercangkul sangkup,tarsangkul 
tercari,tartorih 
tercekik,"tarpongkik, tarpongkik , tarsongkik, tarsongkik "
tercekik karena tulang ikan,mongkik
tercelup,"tarsolup, tarsolup "
tercelupkan,"tarsosobhon, tarsosobhon "
tercetak,tarrokam 
tercincang,tartaktak
tercincang taktak,tartaktak 
tercium,"tarsanggoh, tarummah"
tercium sandiri,tarsanggoh 
tercubit,targotik
tercubit gotil,"saling cubit  
targotik "
tercucuk,pantik
tercungkil,"tarungkil, tarungkil "
terdapat,"tardapot, tardapot "
terdiam,tardunam 
terdinding,"tardingding, tardingding "
terdiri dari,sorba
terdirikan,"tarpajongjong, tarpajongjong "
terdorong,"dorong 
taronjar , taronjar"
terduri,tarsuga
terduri sugad,tarsuga 
terendam,tarronjam
tergali,"tarhuruk, tarhuruk , tarongkal, tartahur, tartahur , taruhal, taruhal "
tergantung,"galtung, tair"
tergarami,"tarsirai, tarsirai "
tergeletak,darsei
tergelincir,"dayas, dejet, gayap, leset, payas, tarjiris "
tergenang,"lana, mornang, ornang, tolngou"
tergendong,"anak yang 
digendong  
tarombah , tarombah, tartangking"
tergendong tangkir,tartangking 
tergesa,"huleteng, huliput"
tergesa-gesa,"hojor, huleteng"
tergesa-gesa; tergopoh-gopoh,huliput
tergigit,"tardoti, tardoti , tarharat "
tergopoh,japa
tergores,"garis  
tarturih , golei"
tergulung,tarhulhul 
terhabiskan,"tartagashon, tartagashon "
terhalang,"langlang, muntad, sungkod, sungkok"
terhalang (disebabkan sesuatu  benda yang melintang),sugad
terhalang dengan tiba,targuba 
terhalang; terkendala,langlang
terhambat,"tarolat, tarolat "
terhapus,"tarsasap, tarsasap "
terharap,"ilir, tararap, tararap "
terharap-harap,ilir
terhibur,sabou
terhina,"tardorun , tarhiri, tarhiri "
terikat,"bulut, tartambat , taruntam, taruntam "
terikat erat,jotjot
terima,"jalo, tampin, tupa"
teringat,"risou, tardingat , taringat 
, taringot, taringot "
terinjak,"tarrojat, tarrojat "
teriris,"tariris, tariris "
terisak,marihik 
terisap,"kan  
tarinsop , tarinsop"
terisi,"tarisi, tarisi "
terjadi,tarjadi 
terjadikan,"tarpajadi, tarpajadi "
terjaga,"tarjaga, tarjaga "
terjala,"tarjala, tarjala "
terjang,tanjak
terjanjikan,tarpadanhon
terjanjikan padang,tarpadanhon 
terjatuh,"mompas, munjei, muyom, runggang"
terjawab,tarsampang
terjawab sampar,tarsampang 
terjelaskan,tarpajojor
terjemur,tarjomur
terjemur jon,tarjomur 
terjepit,"isat, losat, targampit, targampit , tarhapit "
terjepit; tindih,isat
terjerat,"tarsambil, tarsiding"
terjerat sambilou,tarsambil 
terjerat sibarangan,tarsiding 
terjerembab,payak
"terjerembab; tarpayak	adv	jatuh		ter- jerembab",payak
terjerumus,puhung
terjerumus ke dalam lubang (tentang kaki),losop
terjerumus ke lubang,losop
terjinjing,"tarhanting, tarhanting "
terjual,"tarjual, tarjual "
terjumbai,ambir
terjumpa,tarpadomu
terjumpa domuh,tarpadomu 
terjurai,sambei
terka,angka
terkait,"tarhait, tarhait "
terkam,"dongkap, dorab"
terkaman,dorabkon 
terkapar,timpal
terkayuh,tarkayuh
terkayuh kedondong,tarkayuh 
terkejar,"kejaran 
tarayak "
terkejut,"hidut, tardosak , tarsonggot 
"
terkelupas,liklik
terkena,"halimataon, hombunon, paudan, tarhona 
, tarpangkah"
terkena embun,hombunon 
terkena hujan,paudan 
terkena penyakit mata,halimataon 
terkena pukul pangkar,tarpangkah 
terkenal,agoragon
terkenal barna,tarbarita 
terkenang,manradang 
terkentut,"untut, untut "
terketam,"tarhotam, tarhotam "
terkilir,"pogi, puhei, simpok, tarsimpok, tarsimpok "
terkira,"tarkira, tarkira "
terkirim,"tarhirim, tarhirim "
terkotori,"tarbutaki, tarbutaki "
terkuasai,tarkuasai
terkuasai dapat dikuasai,tarkuasai 
terkuliti,"tarhuliti, tarhuliti "
terkumpul,"miduk, tarhimpang, tarhimpang "
terkupak,malbang
terkupas,"muak, tarhubak, tarhubak "
terlalu,"mandaohtu, maparahtu, pinsurtu, pintortu, rangkahtu, rengestu, sahang, tumang"
terlalu asin,poda
terlalu asin (terlalu banyak garam),poda
terlalu banyak,bahattu
terlalu kecil,etektu
terlalu kenyang,gejeng
terlalu kuat,gogohtu
terlalu lama,dokahtu
terlalu merah,gergertu
terlalu padat,goktu
terlambat,"leat, salhod, urutan 
tarpudi "
terlampau,liou
terlanjur,tarsop
terlarikan,"tarlintunhon 
"
terlawan,"tarimbang , tarlawan"
terlawan lape,tarlawan 
terlempar,"tardanggur, tardanggur , targijig, targijig "
terlentang,"gadap, gadas, garsei, todos"
terlepas,tarpaluah 
terletak,"gajap, radag, radean"
terletak (terlentang),radei
terlihat,"penonton  
tartonggor , taridah, tartonggor"
terlihat jelas,talar
terlihat terang,bilak
terlihat terang bilalang [bilalaG] n empedal bilang [bilaG] v hitung,bilak
terlindas,targisil 
terlupa,tarlolos 
termakan,"tarbonjang, tarbonjang , tarpangan "
termasak,tarlompah 
termasuk,tarmasuk
termasuk mata,tarmasuk 
termatikan,tarpamatei 
termenung,tartonjan 
termimpi,nipi 
terminta,tarpindo 
terminum,tarinum 
termuat,"tarsiat, tarsiat "
ternak,pahanan
ternanti,"ronggak, tarronggak, tarronggak "
ternanti ,ronggak
ternanti-nanti,tarronggak
ternganga,ngangang
ternyata,hape
terompah,saleper
terompet dari,ole
terong belanda,tiung
terpadamkan,"tarilohkon, tarilohkon "
terpaksa,tarpaksa 
terpaku,tarpaku 
terpalu,tarpaluhon
terpalu ,tarpaluhon 
terpanasi,tarpamilas 
terpancangkan,"kan  
tarpajoghon , tarpajoghon"
terpanggil,tardilo 
terpanjat,"tartangkih, tartangkih "
terpasang,"masang 
tarpasang , tarpasang"
terpatahkan,"tarponggol, tarponggol , tarsuakhon"
terpatahkan suak,tarsuakhon 
terpatuk,"patok ayam 
tarpagut , tarpagut"
terpegang,"pegangan  
tarjolom , tarjolom"
terpejam,pit 
terperangkap,"tarsorhop, tarsorhop , tartirangkap, tartirangkap "
terperosok,lusut
terpetik,"tartilpak, tartilpak "
terpijak,"tardogei, tardogei , targelek "
terpikul,"kan 
tarhallung , tarhallung, tarlanja, tarlanja , tarpikul "
terpilih,"tarpilih, tarpilih "
terpintal,taridas
terpintal ido,taridas 
terpisah,tarsirang 
terpotong,tarobog 
terpukul,tarlosing
terpukul lonsing,tarlosing  
terpulang kepada,dolos
terpusing,"tarputar, tarputar "
terputar,tarpahusor 
terputus,tarrotap  
terputuskan,"tarrotaphon, tarrotaphon "
tersaingi,"tarimbangi, tarimbangi "
tersambung,"tarubung, tarubung "
tersampaikan,"padashon, tarpadas, tarpadas , tarpasampei, tarpasampei "
tersandung,tartuktuk 
tersangka,"tartugat, tartugat "
tersangkut,jurak
tersangkut (khusus untuk manusia); terjatuh,jurak
tersaring,"tarsayoh, tarsayoh "
tersayat,tarsayat 
tersebar,"tarsegei, tarsegei "
tersebut,"tarsobut, tarsobut , tarsuligor, tarsuligor "
tersedak,"singgokon, tarsinggok, tarsinggok "
tersedak singgom,singgokon 
tersedu,"hangar, hasosombopan"
tersedu-sedu,hangar
terselesaikan,"tardobkon, tardobkon "
terselip,"solat, tarsilip "
terselip di pinggang,halhal
tersembah,"tarsombah, tarsombah "
tersembunyi,"tarsuni, tarsuni "
tersendiri,pulig
tersendiri dan,punjung
tersendiri dan sunyi,punjung
tersentak,"mantod, taruntor, taruntor "
tersentuh,"ansul, antuk, peos, tardais, tardais , tardorab , tartumbuk, tartumbuk "
tersenyum,"tarsenggeh, tarsenggeh 
, tarsirom, tarsirom "
tersepak,"tarsipak, tarsipak "
tersiksa,marsik 
tersimpan,"tarponopkon, tarponopkon "
tersimpan dengan sangat rapi,dimpos
tersimpan rapi,jimpo
tersindir,tarsember
tersindir semporong,tarsember 
tersinggung,suda
tersisa,"tarsulei, tarsulei "
tersisipkan,"tarsolothon, tarsolothon "
tersuap,tarsulang 
tersumbat,"pitut, sonson, tarsumpol, tarsumpol "
tersungkur,"durum, jumba, unjom"
tersuruh,"anjuran 
tarojur , tarojur"
tersuruk,"sugud, tarsuruk"
tersuruk surung,tarsuruk 
tertahan,"tartahan, tartahan , tartehan, tartehan "
tertajak,"tartajak, tartajak "
tertampung,"tartanggo, tartanggo "
tertanam,"tarsuan, tarsuan "
tertancap,jengkal
tertarik,"tarsarad, tarsarad , tarsintak, tarsintak , tartarik"
tertarikan,tartortorhon 
tertawa,"kikkikan, mohol, tartawa "
tertawa gelak-gelak,kikkikan
tertawa yang,ngil
tertawa; gelak tawa,haha
tertebas,"tartobas, tartobas "
tertebus,"tartobus, tartobus "
tertelan,"tartolon, tartolon "
tertembak,"kan 
tartembak , tarbodil, tarbodil , tartembak"
terteng,nonghon 
terterima,"tarjalo, tarjalo "
tertidur,tarpodom 
tertikam,"nikam 
tartiham , tartiham, tartobak, tikaman 
tartobak "
tertimbun,"tarsasa, tarsasa , tartamban, tartimbun"
tertimbun tambang,tartamban 
tertimbun timbul,tartimbun 
tertimpa,"tartipa, tartipa "
tertindih,"tartindih, tartindih "
tertinggal,tartangguh 
tertipu,"tartipu, tartipu "
tertitu,"meniru 
tartiru , tartiru"
tertiup,tarsompul 
tertolong,"membantu 
pangurupi n dukun bayi 
tarurupi , tarurupi"
tertuduh,tartukas
tertukar,"tartuhar, tartuhar "
tertulang,holi 
tertulis,tarsurat
tertumpah,"tardungkap, tardungkap , tardurhap, tardurhap , tartungkaphon "
